gate,n_c,input_name,group,is_code_input,counts_for_L2,P_logical_initial,P_logical,P_g_even_nonlogical,P_g_odd,P_e_even,P_e_odd,P_trunc_edge,partition_sum,P_target,leaked_mass
H,24,"|g,4>_orth",C,False,True,6.538696206366926e-34,1.8590109976993573e-05,0.19092155719833795,0.7007956251404343,0.036116594261279875,0.07214763329001266,2.0681361952682708e-07,1.0000000000000417,,
H,24,a|+Z_L>,E,False,False,0.0,1.9673379524401174e-05,0.16351442127085325,0.16144866859487417,0.405601347241257,0.26941588951358275,1.4251340399921558e-07,1.0000000000000915,,
H,24,a|-Z_L>,E,False,False,0.0,2.1532422347127703e-05,0.1033504392392079,0.18947460933943888,0.41474078169494394,0.2924126373041313,1.0615083594882674e-07,1.0000000000000693,,
H,24,"|+Z_L,g>",code,True,,1.0,0.9990510501712444,0.00029649071516979486,0.00021803313403027065,0.00019049275238067556,0.00024393322725222048,6.015402209838514e-08,1.0000000000000773,0.9990510501712444,0.0009489498287555964
H,24,"|-Z_L,g>",code,True,,1.0,0.9976117569655646,0.0006747915147518047,0.000786156434506445,0.000501115471077217,0.00042617961415643496,1.6621324749472903e-07,1.0000000000000564,0.9976117569655646,0.002388243034435411
Z,24,"|e,0>",A,False,True,0.0,5.263081415442658e-07,1.8625044062209982e-06,5.395690758093912e-07,0.9999935545328419,3.51708556055691e-06,3.259699157707216e-32,1.000000000000026,,
Z,24,"|e,1>",A,False,True,0.0,4.718408165264217e-07,1.5031855781777205e-06,0.2247939103078987,4.62896141814201e-05,0.7751578250516096,9.513982305684603e-32,1.0000000000000844,,
Z,24,"|e,2>",A,False,True,0.0,8.629421234747276e-07,1.972883619129007e-07,3.769831729212028e-05,0.9998567839745891,0.0001044574776549114,1.3396936485035048e-30,1.0000000000000215,,
Z,24,"|g,1>",B,False,True,0.0,2.696047974122172e-07,1.5098595259425045e-07,0.775198312843254,2.3241790608336177e-05,0.22477802477548897,6.585198337533817e-31,1.0000000000001013,,
Z,24,"|g,3>",B,False,True,0.0,1.0292015855783934e-06,3.524026748733356e-07,0.6698488591726074,5.4664633763746964e-05,0.33009509458944875,1.3016629677564705e-30,1.0000000000000804,,
Z,24,"|g,5>",B,False,True,0.0,3.429692484598848e-07,6.603325662300487e-07,0.6240098489487647,0.00010173540181127269,0.3758874123476997,3.3552058041710095e-30,1.0000000000000904,,
Z,24,"|g,8>_orth",C,False,True,1.1605143610888812e-35,5.046210726791062e-06,0.9999494189828024,4.680738720071282e-06,1.6464686771322164e-05,2.4389380991994006e-05,7.514206963109147e-23,1.0000000000000127,,
Z,24,"|g,6>_orth",C,False,True,1.1467779713135065e-36,4.4311044336271493e-07,0.9997286911777257,6.65114962362668e-07,0.00026719498269869266,3.0056142317858853e-06,1.132076139054794e-12,1.0000000000000617,,
Z,24,"|g,4>_orth",C,False,True,6.538696206366926e-34,4.0407625605421355e-08,0.9999956913188547,5.590466777495548e-07,2.2881613204362e-06,1.4210655439661536e-06,7.066174269182582e-21,1.0000000000000224,,
Z,24,a|+Z_L>,E,False,False,0.0,9.931914705328583e-07,3.426811176723048e-07,0.6840976397772652,6.01889937648721e-05,0.3158408353564575,4.46204317864199e-25,1.000000000000076,,
Z,24,a|-Z_L>,E,False,False,0.0,1.9010459811455233e-07,5.125788508052732e-07,0.716988639404259,5.506395770278025e-05,0.2829555939546783,1.8417137485145117e-16,1.000000000000089,,
Z,24,"|+Z_L,g>",code,True,,1.0,0.9997903868573829,0.00020519450355616087,9.505729053575579e-07,1.5785475763213046e-06,1.8895186664408767e-06,2.0208948769703154e-21,1.0000000000000873,0.9997903868573829,0.0002096131426171377
Z,24,"|-Z_L,g>",code,True,,1.0,0.9986882983881881,0.00017293378890703703,3.2149061455522836e-07,0.0011370108848655167,1.43544747674888e-06,5.049705001260305e-12,1.000000000000052,0.9986882983881881,0.001311701611811933
T,24,"|e,0>",A,False,True,0.0,7.737013727945383e-09,2.7378885998563273e-08,2.327457594553517e-06,0.9999948361193197,2.8013071922462236e-06,1.9932427332486177e-31,1.0000000000000062,,
T,24,"|e,1>",A,False,True,0.0,1.7000494856704173e-08,4.4043763085506885e-08,0.03364795253573609,1.0668068616222445e-05,0.9663413183515217,1.0148734577439275e-30,1.000000000000132,,
T,24,"|e,2>",A,False,True,0.0,9.411809748610136e-08,2.151959011776174e-08,1.9605700150001267e-06,0.9999645268947123,3.3396897572782345e-05,3.508427706703105e-30,0.9999999999999877,,
T,24,"|g,1>",B,False,True,0.0,2.0286938409546427e-07,1.0512196100579534e-07,0.9663488699257291,2.7174280305683035e-06,0.03364810465495855,1.0488116976885677e-29,1.0000000000000633,,
T,24,"|g,3>",B,False,True,0.0,1.3522893567865214e-07,4.6255615595650185e-08,0.9789415217403191,1.519215986700767e-05,0.021043104615397993,1.0049444118729533e-29,1.0000000000001354,,
T,24,"|g,5>",B,False,True,0.0,1.5307683756959578e-07,3.637805880679975e-07,0.9459520218916297,1.0081565766861314e-05,0.05403737968527022,5.321714732007804e-30,1.0000000000000924,,
T,24,"|g,8>_orth",C,False,True,1.1605143610888812e-35,2.1894377871567926e-05,0.999949483324135,5.257511695246994e-07,2.6683405892617682e-05,1.413140932615023e-06,1.7351245696049435e-23,1.0000000000000013,,
T,24,"|g,6>_orth",C,False,True,1.1467779713135065e-36,3.960810977416402e-07,0.9999952702190954,2.493509853283397e-07,3.5275783358066813e-06,5.567704984655777e-07,1.1320805381349977e-12,1.0000000000000127,,
T,24,"|g,4>_orth",C,False,True,6.538696206366926e-34,3.97409023259095e-07,0.9999984281551891,1.5589875697316444e-07,9.683045262835742e-07,5.023252799238092e-08,1.6292486396486474e-21,1.0000000000000238,,
T,24,a|+Z_L>,E,False,False,0.0,1.473563079088822e-07,5.112284065577651e-08,0.9804035465513541,1.4695389900991495e-05,0.019581559579720645,4.018360631386485e-27,1.0000000000001243,,
T,24,a|-Z_L>,E,False,False,0.0,4.28725626666617e-08,3.4874785655319923e-07,0.9585257937728374,5.666300352530667e-06,0.04146814830646855,2.7546014287140735e-17,1.0000000000000777,,
T,24,"|+Z_L,g>",code,True,,1.0,0.9996441531696847,0.00035413791191374333,2.882965599170145e-07,1.2798528866668718e-06,1.407690346194596e-07,4.659596892312936e-22,1.0000000000000797,0.9996441531696847,0.0003558468303153095
T,24,"|-Z_L,g>",code,True,,1.0,0.9999375431849724,6.107730413718038e-05,2.3146500566206613e-07,9.579827684742416e-07,1.90063136705277e-07,5.049724609459807e-12,1.0000000000000204,0.9999375431849724,6.245681502758949e-05
I,24,"|e,0>",A,False,True,0.0,4.719401783061505e-08,1.6701157180578082e-07,1.7160380692858708e-06,0.9999959565782247,2.113178122503098e-06,1.957323077890297e-34,1.0000000000000062,,
I,24,"|e,1>",A,False,True,0.0,4.810215650004524e-09,8.357344075825096e-09,0.0844677401286946,9.235732121327083e-06,0.9155230109717457,1.0394530471648755e-32,1.0000000000001215,,
I,24,"|e,2>",A,False,True,0.0,2.275354888299336e-08,5.204505994392437e-09,5.318006093131138e-06,0.999980261831311,1.4392204591124672e-05,4.8216586124769057e-32,1.0000000000000502,,
I,24,"|g,1>",B,False,True,0.0,2.33503022627583e-08,6.330838003863601e-08,0.9155282877022759,4.8243303084462e-06,0.08446680130876077,9.926780159957022e-32,1.0000000000000275,,
I,24,"|g,3>",B,False,True,0.0,3.742342633606602e-08,9.205465575216185e-09,0.9626093136620426,7.92029760117717e-06,0.03738271941168723,3.358820951722403e-30,1.000000000000223,,
I,24,"|g,5>",B,False,True,0.0,2.372305527196723e-08,4.522250301534063e-08,0.942991972025425,1.3278688426353827e-05,0.05699468034065421,4.351625474269403e-30,1.0000000000000637,,
I,24,"|g,8>_orth",C,False,True,1.1605143610888812e-35,2.563179735820692e-06,0.999990337113477,5.886131825185938e-07,4.229224330482188e-06,2.2818692653497385e-06,3.8882811619172e-24,0.9999999999999911,,
I,24,"|g,6>_orth",C,False,True,1.1467779713135065e-36,4.043679550727734e-06,0.9999926808246664,6.952041139563413e-08,2.9549294510850494e-06,2.5104595799834206e-07,1.1320798918563383e-12,1.0000000000000377,,
I,24,"|g,4>_orth",C,False,True,6.538696206366926e-34,3.238713372374912e-07,0.9999989498783296,5.3916500967758216e-08,6.481626837578663e-07,2.4171171564505707e-08,3.664454076755184e-22,1.000000000000023,,
I,24,a|+Z_L>,E,False,False,0.0,2.899566703513921e-08,5.4797366696471056e-08,0.9603974287226245,7.985292567878116e-06,0.03959450219197803,1.929803767891308e-28,1.000000000000204,,
I,24,a|-Z_L>,E,False,False,0.0,6.014159184913225e-09,8.169393806702254e-08,0.9273742477102564,8.158759353412971e-06,0.07261750582234468,5.055447707786587e-17,1.0000000000000517,,
I,24,"|+Z_L,g>",code,True,,1.0,0.9997438506394877,0.0002555985049103038,5.241963388987465e-08,3.968271458572556e-07,1.0160890483427277e-07,1.0478797632707467e-22,1.0000000000000824,0.9997438506394877,0.0002561493605123255
I,24,"|-Z_L,g>",code,True,,1.0,0.9993049925623178,0.0006884456960949414,6.202378220698173e-08,6.428371491660506e-06,7.134636736646457e-08,5.0497217281440955e-12,1.000000000000054,0.9993049925623178,0.000695007437682249
