Gate,Probe,Group,P_logical_initial,P_logical,P_g_even_nonlogical,P_g_odd,P_e_even,P_e_odd
T,"|g,1>",B,0.0,2.0286938409546427e-07,1.0512196100579534e-07,0.9663488699257291,2.7174280305683035e-06,0.03364810465495855
T,"|g,3>",B,0.0,1.3522893567865214e-07,4.6255615595650185e-08,0.9789415217403191,1.519215986700767e-05,0.021043104615397993
T,"|g,5>",B,0.0,1.5307683756959578e-07,3.637805880679975e-07,0.9459520218916297,1.0081565766861314e-05,0.05403737968527022
T,"|g,8>_orth",C,1.1605143610888812e-35,2.1894377871567926e-05,0.999949483324135,5.257511695246994e-07,2.6683405892617682e-05,1.413140932615023e-06
T,"|g,6>_orth",C,1.1467779713135065e-36,3.960810977416402e-07,0.9999952702190954,2.493509853283397e-07,3.5275783358066813e-06,5.567704984655777e-07
T,"|g,4>_orth",C,6.538696206366926e-34,3.97409023259095e-07,0.9999984281551891,1.5589875697316444e-07,9.683045262835742e-07,5.023252799238092e-08
I,"|e,0>",A,0.0,4.719401783061505e-08,1.6701157180578082e-07,1.7160380692858708e-06,0.9999959565782247,2.113178122503098e-06
I,"|e,1>",A,0.0,4.810215650004524e-09,8.357344075825096e-09,0.0844677401286946,9.235732121327083e-06,0.9155230109717457
I,"|e,2>",A,0.0,2.275354888299336e-08,5.204505994392437e-09,5.318006093131138e-06,0.999980261831311,1.4392204591124672e-05
I,"|g,1>",B,0.0,2.33503022627583e-08,6.330838003863601e-08,0.9155282877022759,4.8243303084462e-06,0.08446680130876077
I,"|g,3>",B,0.0,3.742342633606602e-08,9.205465575216185e-09,0.9626093136620426,7.92029760117717e-06,0.03738271941168723
I,"|g,5>",B,0.0,2.372305527196723e-08,4.522250301534063e-08,0.942991972025425,1.3278688426353827e-05,0.05699468034065421
I,"|g,8>_orth",C,1.1605143610888812e-35,2.563179735820692e-06,0.999990337113477,5.886131825185938e-07,4.229224330482188e-06,2.2818692653497385e-06
I,"|g,6>_orth",C,1.1467779713135065e-36,4.043679550727734e-06,0.9999926808246664,6.952041139563413e-08,2.9549294510850494e-06,2.5104595799834206e-07
I,"|g,4>_orth",C,6.538696206366926e-34,3.238713372374912e-07,0.9999989498783296,5.3916500967758216e-08,6.481626837578663e-07,2.4171171564505707e-08
